filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,reidentification_mean,reidentification_standard_error,reidentification_attack_duration,avg_time_per_reidentification_attack_run,allocated_memory_MiB
MAC000193.csv,8,2012-11-03 to 2012-12-16,763.76,0.50,8.890258,3.256326,0.000000,0.000000,14.832863,0.014833,126.00
MAC000274.csv,3,2012-04-12 to 2012-05-25,1447.67,0.60,9.607269,3.406356,0.000000,0.000000,14.798131,0.014798,113.00
MAC000015.csv,3,2012-04-12 to 2012-05-25,336.90,0.90,7.920099,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000145.csv,3,2012-03-30 to 2012-05-12,445.07,0.90,8.843996,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000192.csv,9,2012-12-16 to 2013-01-28,335.79,0.30,8.463450,5.311357,0.004938,0.000193,148.197469,0.148197,123.00
MAC000222.csv,1,2012-01-13 to 2012-02-24,1289.50,0.30,8.616951,6.118426,0.004938,0.000193,148.197469,0.148197,123.00
MAC000152.csv,6,2012-08-05 to 2012-09-17,294.52,0.40,8.083385,1.623276,0.002475,0.000158,147.637229,0.147637,116.00
MAC000189.csv,3,2012-04-04 to 2012-05-17,498.77,0.80,8.765702,0.127617,0.000000,0.000000,14.854397,0.014854,93.00
MAC000185.csv,1,2012-01-08 to 2012-02-19,278.30,0.10,7.609740,4.866488,0.010037,0.000157,153.111110,0.153111,118.00
MAC000209.csv,5,2012-06-30 to 2012-08-12,115.31,0.10,7.426540,4.193512,0.010037,0.000157,153.111110,0.153111,118.00
MAC000180.csv,9,2012-12-14 to 2013-01-26,548.78,0.20,8.791564,6.107625,0.007513,0.000194,150.174340,0.150174,107.00
MAC000178.csv,1,2012-01-08 to 2012-02-19,715.75,0.30,9.137236,6.309951,0.004938,0.000193,148.197469,0.148197,123.00
MAC000178.csv,5,2012-06-26 to 2012-08-08,467.19,0.30,8.679767,5.510906,0.004938,0.000193,148.197469,0.148197,123.00
MAC000192.csv,0,2011-11-28 to 2012-01-10,361.35,0.50,8.421958,2.022431,0.000000,0.000000,14.832863,0.014833,126.00
MAC000033.csv,7,2012-10-01 to 2012-11-12,281.25,0.60,8.354606,1.456785,0.000000,0.000000,14.798131,0.014798,113.00
MAC000222.csv,5,2012-07-01 to 2012-08-13,306.34,0.60,7.889630,1.944103,0.000000,0.000000,14.798131,0.014798,113.00
MAC000067.csv,6,2012-08-21 to 2012-10-03,342.65,0.10,8.373895,5.314096,0.010037,0.000157,153.111110,0.153111,118.00
MAC000108.csv,5,2012-07-13 to 2012-08-25,135.19,0.10,7.458499,4.553336,0.010037,0.000157,153.111110,0.153111,118.00
MAC000185.csv,4,2012-05-15 to 2012-06-26,227.32,0.20,7.465038,4.465998,0.007513,0.000194,150.174340,0.150174,107.00
MAC000239.csv,1,2012-01-14 to 2012-02-25,301.14,0.30,8.535247,5.289059,0.004938,0.000193,148.197469,0.148197,123.00
MAC000034.csv,9,2012-12-25 to 2013-02-06,1827.22,0.40,9.299457,4.016059,0.002475,0.000158,147.637229,0.147637,116.00
MAC000160.csv,5,2012-06-24 to 2012-08-06,305.80,0.50,7.625105,2.222133,0.000000,0.000000,14.832863,0.014833,126.00
MAC000199.csv,0,2011-11-28 to 2012-01-10,313.02,0.50,8.385610,1.684594,0.000000,0.000000,14.832863,0.014833,126.00
MAC000166.csv,0,2011-11-24 to 2012-01-06,308.35,0.70,8.311734,1.743274,0.000000,0.000000,14.794535,0.014795,98.00
MAC000219.csv,0,2011-11-30 to 2012-01-12,314.85,0.10,8.242436,5.174409,0.010037,0.000157,153.111110,0.153111,118.00
MAC000108.csv,3,2012-04-19 to 2012-06-01,150.45,0.20,7.585861,4.541152,0.007513,0.000194,150.174340,0.150174,107.00
MAC000160.csv,8,2012-10-30 to 2012-12-12,295.59,0.70,7.371653,1.648939,0.000000,0.000000,14.794535,0.014795,98.00
MAC000170.csv,6,2012-08-07 to 2012-09-19,519.46,0.70,8.779174,1.503212,0.000000,0.000000,14.794535,0.014795,98.00
MAC000047.csv,4,2012-05-27 to 2012-07-08,239.23,0.80,7.676854,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000159.csv,7,2012-09-18 to 2012-10-31,424.26,0.80,8.381076,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000203.csv,9,2012-12-17 to 2013-01-29,290.02,0.80,8.586498,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000205.csv,9,2012-12-17 to 2013-01-29,577.54,0.80,8.854218,0.072654,0.000000,0.000000,14.854397,0.014854,93.00
MAC000209.csv,5,2012-06-30 to 2012-08-12,115.31,0.50,7.426540,1.053339,0.000000,0.000000,14.832863,0.014833,126.00
MAC000252.csv,4,2012-05-22 to 2012-07-03,572.36,0.70,6.892908,1.069968,0.000000,0.000000,14.794535,0.014795,98.00
MAC000055.csv,2,2012-03-03 to 2012-04-15,513.87,0.80,8.458175,0.065914,0.000000,0.000000,14.854397,0.014854,93.00
MAC000179.csv,7,2012-09-20 to 2012-11-01,374.52,0.80,8.388981,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000198.csv,7,2012-09-22 to 2012-11-03,301.18,0.80,8.716366,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000248.csv,9,2012-12-21 to 2013-02-02,661.06,0.80,9.045049,0.190853,0.000000,0.000000,14.854397,0.014854,93.00
MAC000188.csv,6,2012-08-10 to 2012-09-22,176.90,0.90,7.951394,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000238.csv,9,2012-12-20 to 2013-02-01,444.89,0.90,8.793725,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
