filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,asr_mean,asr_standard_error,asr_attack_duration,avg_time_per_attack_run
8c06e577-095f-4628-8def-3e94a55f2e97.csv,1,12/02/2015 to 27/03/2015,0.00,0.60,0.000000,0.000000,0.009150,0.000175,23.235142,0.023235
cd2a63c5-e1ab-4000-a286-9628f856af4b.csv,9,25/01/2016 to 08/03/2016,12010.00,0.70,3.605799,3.605799,0.009412,0.000171,21.438857,0.021439
7c740711-9c8a-4b41-a262-c2200a3e8d52.csv,2,27/03/2015 to 13/05/2015,9105.00,0.80,3.816807,2.302862,0.008738,0.000181,24.874580,0.024875
85653d39-0e18-411e-abcd-689056140d21.csv,1,12/02/2015 to 27/03/2015,10773.00,0.20,4.168695,4.168695,0.009437,0.000170,21.754572,0.021755
c5c103dc-1812-474c-8d40-03e844585f5b.csv,6,18/09/2015 to 31/10/2015,11991.00,0.40,3.931390,3.931390,0.009575,0.000167,21.961779,0.021962
f5850315-552a-440f-9871-173212ad467f.csv,8,15/12/2015 to 27/01/2016,13719.00,0.40,4.854660,4.854660,0.009575,0.000167,21.961779,0.021962
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,8,15/12/2015 to 27/01/2016,12196.00,0.60,3.834235,3.834235,0.009150,0.000175,23.235142,0.023235
9bb98e59-e609-45db-a659-030dd644968f.csv,5,07/08/2015 to 18/09/2015,9645.00,0.60,4.006723,4.006723,0.009150,0.000175,23.235142,0.023235
77852396-f4a2-4d47-a864-8723417d9591.csv,2,28/02/2017 to 10/03/2017,326.00,0.90,0.680264,0.132698,0.006550,0.000198,32.411169,0.032411
16bb182d-cb73-4cb8-9002-8b18177eaaa7.csv,7,31/10/2015 to 13/12/2015,548.00,0.10,0.179264,0.179264,0.009437,0.000170,22.614051,0.022614
9cc3d613-1218-4cfe-b8c8-0e2bbdbc979b.csv,9,25/01/2016 to 08/03/2016,550.00,0.10,0.705091,0.705091,0.009437,0.000170,22.614051,0.022614
