round=0, currententropyreduction=0.3235, record=2182, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2183, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2184, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2185, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2186, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2187, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2188, original=0.000535, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2189, original=0.000621, encryptionratio=0.1000, entropyreductionratio=0.0019, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2190, original=0.000420, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2191, original=0.001106, encryptionratio=0.1000, entropyreductionratio=0.0034, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2192, original=0.000424, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2193, original=0.000535, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2194, original=0.000621, encryptionratio=0.1000, entropyreductionratio=0.0019, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2195, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2196, original=0.000535, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2197, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2198, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2199, original=0.000655, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2200, original=0.000424, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2201, original=0.000673, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2202, original=0.000639, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2203, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2204, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2205, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2206, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2207, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2208, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2209, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2210, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
